clade,species,complete_genomes,synced,genoforms,inversions
Alpha,Phaeobacter_inhibens,22,22,4,15
Gamma,Erwinia_amylovora,22,22,5,16
Firmicutes,Streptococcus_mutans,21,21,2,1
Bacteroidetes,Flavobacterium_psychrophilum,21,21,5,28
Firmicutes,Levilactobacillus_brevis,21,21,6,37
Gamma,Raoultella_ornithinolytica,21,21,3,4
Firmicutes,Staphylococcus_haemolyticus,20,20,NA,NA
Gamma,Pseudomonas_protegens,20,20,2,2
Gamma,Acinetobacter_johnsonii,20,20,11,177
Gamma,Citrobacter_portucalensis,20,20,5,27
Gamma,Pectobacterium_brasiliense,19,20,3,5
Firmicutes,Bacillus_paralicheniformis,20,19,3,5
Firmicutes,Streptococcus_salivarius,20,19,3,12
Firmicutes,Streptococcus_oralis,19,19,7,77
Actinobacteria,Corynebacterium_ulcerans,19,19,NA,NA
Gamma,Aeromonas_salmonicida,18,19,15,1039
Firmicutes,Lactococcus_cremoris,19,19,10,180
Gamma,Xylella_taiwanensis,19,19,NA,NA
Firmicutes,Latilactobacillus_curvatus,22,19,5,24
Alpha,Agrobacterium_tumefaciens,19,19,NA,NA
Beta,Achromobacter_xylosoxidans,19,19,7,75
Gamma,Cronobacter_sakazakii,17,19,5,31
Beta,Bordetella_hinzii,18,18,NA,NA
Firmicutes,Enterococcus_hirae,19,18,2,1
Gamma,Enterobacter_kobei,18,18,3,6
Gamma,Enterobacter_ludwigii,18,18,6,36
Actinobacteria,Rhodococcus_equi,18,18,2,1
Gamma,Shewanella_algae,18,18,5,17
Firmicutes,Bacillus_cytotoxicus,17,17,3,6
Gamma,Serratia_plymuthica,17,17,3,5
Firmicutes,Lactobacillus_johnsonii,18,17,2,1
Firmicutes,Lactobacillus_crispatus,17,17,6,32
Gamma,Aggregatibacter_actinomycetemcomitans,18,17,9,363
Alpha,Zymomonas_mobilis,17,17,3,7
Firmicutes,Ligilactobacillus_salivarius,17,17,2,1
Gamma,Photobacterium_damselae,17,17,3,5
Firmicutes,Staphylococcus_saprophyticus,16,16,NA,NA
Epsilon,Campylobacter_concisus,16,16,8,179
Gamma,Vibrio_anguillarum,16,16,3,9
Beta,Burkholderia_cepacia,17,16,2,1
Gamma,Yersinia_ruckeri,16,16,2,1
Gamma,Haemophilus_parainfluenzae,16,16,7,101
Actinobacteria,Micrococcus_luteus,16,16,2,1
Firmicutes,Weizmannia_coagulans,16,16,NA,NA
Tenericutes,Metamycoplasma_hominis,16,16,NA,NA
Firmicutes,Bacillus_pumilus,16,15,NA,NA
Gamma,Vibrio_campbellii,16,15,4,13
Actinobacteria,Bifidobacterium_bifidum,14,15,3,4
Alpha,Rhizobium_phaseoli,15,15,NA,NA
Gamma,Pectobacterium_parmentieri,15,15,2,1
Gamma,Dickeya_dianthicola,15,15,2,4
Alpha,Bartonella_krasnovii,15,15,4,12
Actinobacteria,Streptomyces_clavuligerus,15,15,2,1
Alpha,Bradyrhizobium_diazoefficiens,18,15,4,42
Actinobacteria,Gardnerella_vaginalis,15,15,4,27
Firmicutes,Dolosigranulum_pigrum,15,15,NA,NA
Gamma,Alteromonas_mediterranea,15,15,2,4
Firmicutes,Staphylococcus_argenteus,14,14,NA,NA
Firmicutes,Staphylococcus_carnosus,14,14,NA,NA
Firmicutes,Staphylococcus_xylosus,14,14,NA,NA
Firmicutes,Bacillus_paranthracis,12,14,NA,NA
Gamma,Acinetobacter_haemolyticus,14,14,6,21
Gamma,Shigella_dysenteriae,14,14,8,242
Firmicutes,Lactococcus_garvieae,14,14,4,13
Spirochaetes,Leptospira_borgpetersenii,14,14,3,16
Gamma,Providencia_stuartii,15,14,4,18
Alpha,Rickettsia_japonica,14,14,2,1
Alpha,Rickettsia_rickettsii,14,14,2,2
Alpha,Bartonella_henselae,14,14,4,12
Bacteroidetes,Prevotella_intermedia,14,14,4,18
Bacteroidetes,Prevotella_melaninogenica,14,14,10,173
Gamma,Pantoea_agglomerans,14,14,3,8
Gamma,Pantoea_ananatis,14,14,2,1
Alpha,Acetobacter_pasteurianus,14,14,3,9
Beta,Alcaligenes_faecalis,14,14,2,2
Deinococcus-Thermus,Deinococcus_radiodurans,14,14,NA,NA
Spirochaetes,Treponema_denticola,14,14,5,78
Gamma,Klebsiella_grimontii,13,13,NA,NA
Firmicutes,Streptococcus_gordonii,13,13,2,1
Epsilon,Campylobacter_lari,14,13,2,1
Gamma,Xanthomonas_phaseoli,13,13,5,43
Beta,Burkholderia_glumae,13,13,4,12
Firmicutes,Clostridium_butyricum,14,13,2,1
Gamma,Coxiella_burnetii,14,13,6,94
Actinobacteria,Candidatus_Planktophila,13,13,3,3
Bacteroidetes,Parabacteroides_distasonis,13,13,8,92
Firmicutes,Macrococcus_canis,13,13,NA,NA
Firmicutes,Mammaliicoccus_sciuri,13,13,NA,NA
Firmicutes,Weissella_cibaria,13,13,NA,NA
Gamma,Edwardsiella_piscicida,13,13,2,3
Gamma,Leclercia_adecarboxylata,13,13,NA,NA
Gamma,Salmonella_bongori,12,12,NA,NA
Firmicutes,Streptococcus_anginosus,12,12,4,15
Firmicutes,Listeria_innocua,12,12,NA,NA
Chlamydiae,Chlamydia_pneumoniae,13,12,2,2
Gamma,Citrobacter_koseri,13,12,3,9
Gamma,Aeromonas_media,12,12,7,94
Firmicutes,Lactobacillus_acidophilus,13,12,2,2
Firmicutes,Lactobacillus_gasseri,12,12,2,1
Gamma,Proteus_terrae,12,12,2,2
Actinobacteria,Rhodococcus_pyridinivorans,12,12,NA,NA
Gamma,Pectobacterium_carotovorum,12,12,5,67
Gamma,Shewanella_putrefaciens,12,12,7,145
Gamma,Dickeya_zeae,12,12,6,39
Gamma,Dickeya_solani,11,12,NA,NA
Alpha,Candidatus_Liberibacter,12,12,2,3
Gamma,Moraxella_catarrhalis,12,12,NA,NA
Gamma,Avibacterium_paragallinarum,13,12,7,80
Actinobacteria,Mycolicibacterium_smegmatis,12,12,2,1
Delta,Myxococcus_xanthus,12,12,NA,NA
Firmicutes,Faecalibacterium_prausnitzii,12,12,8,117
Firmicutes,Bacillus_safensis,12,11,2,4
Gamma,Acinetobacter_junii,12,11,5,19
Gamma,Acinetobacter_nosocomialis,11,11,3,9
Epsilon,Helicobacter_cinaedi,11,11,4,27
Chlamydiae,Chlamydia_abortus,11,11,2,2
Gamma,Shigella_boydii,11,11,8,267
Alpha,Wolbachia_pipientis,11,11,6,88
Gamma,Providencia_alcalifaciens,11,11,2,1
Actinobacteria,Trueperella_pyogenes,11,11,2,1
Bacteroidetes,Chryseobacterium_indologenes,11,11,2,1
Cyanobacteria,Prochlorococcus_marinus,11,11,NA,NA
Firmicutes,Erysipelothrix_rhusiopathiae,11,11,2,1
Spirochaetes,Borreliella_burgdorferi,11,11,NA,NA
Firmicutes,Staphylococcus_warneri,11,10,NA,NA
Firmicutes,Staphylococcus_equorum,10,10,NA,NA
Firmicutes,Streptococcus_mitis,10,10,5,54
Firmicutes,Enterococcus_casseliflavus,10,10,3,5
Gamma,Enterobacter_bugandensis,10,10,2,1
Gamma,Xanthomonas_hortorum,10,10,8,138
Gamma,Vibrio_fluvialis,10,10,NA,NA
Tenericutes,Mycoplasma_gallisepticum,22,10,3,4
Gamma,Citrobacter_amalonaticus,10,10,3,11
Gamma,Proteus_vulgaris,10,10,2,2
Spirochaetes,Leptospira_noguchii,10,10,9,259
Actinobacteria,Rhodococcus_erythropolis,10,10,NA,NA
Actinobacteria,Rhodococcus_qingshengii,10,10,NA,NA
Firmicutes,Paenibacillus_larvae,11,10,6,100
Gamma,Shewanella_baltica,10,10,7,106
Alpha,Rickettsia_prowazekii,10,10,NA,NA
Actinobacteria,Streptomyces_venezuelae,10,10,6,41
Gamma,Moraxella_osloensis,10,10,3,4
Actinobacteria,Eggerthella_lenta,10,10,5,24
Alpha,Ehrlichia_ruminantium,10,10,NA,NA
Alpha,Granulibacter_bethesdensis,10,10,NA,NA
Tenericutes,Ureaplasma_parvum,10,10,NA,NA
Bacteroidetes,Phocaeicola_dorei,10,9,NA,NA
Firmicutes,Oenococcus_oeni,10,8,NA,NA
Tenericutes,Mycoplasmopsis_synoviae,16,6,NA,NA
Gamma,Blochmannia_endosymbiont,14,3,NA,NA
Gamma,Candidatus_Portiera,13,0,NA,NA
Gamma,Candidatus_Stammera,12,0,NA,NA
Gamma,Candidatus_Blochmannia,11,0,NA,NA
Gamma,Candidatus_Carsonella,11,0,NA,NA
Bacteroidetes,Candidatus_Sulcia,34,0,NA,NA
Alpha,Candidatus_Hodgkinia,22,0,NA,NA
Bacteroidetes,Blattabacterium_cuenoti,23,0,NA,NA
Bacteroidetes,Blattabacterium_punctulatus,10,0,NA,NA
Fusobacteria,Fusobacterium_nucleatum,26,0,NA,NA
Gamma,[Haemophilus]_ducreyi,14,0,NA,NA
Candidatus Saccharibacteria,Candidatus_Saccharibacteria,10,0,NA,NA
